Medicine_ID,Medicine_Name,Generic_Name,Category,Dosage,Manufacturer,Batch_Number,Stock_Quantity,Minimum_Stock,Expiry_Date,Purchase_Date,Unit_Price,Supplier,Storage_Location,Status
MED001,Cetirizine,Cetirizine,Syrup,5 ml,Sun Pharma,B2200,414,20,2026-06-28,2025-08-04,161.38,MediSupply,C2,Active
MED002,Calcium,Calcium,Capsule,650 mg,Mankind,B7855,56,50,2027-10-18,2025-08-09,188.46,HealthPlus,A1,Active
MED003,Pantoprazole,Pantoprazole,Ointment,5 ml,Torrent,B2958,348,20,2026-07-29,2025-10-17,450.12,MediSupply,A1,Active
MED004,Pantoprazole,Pantoprazole,Syrup,650 mg,Mankind,B1411,165,50,2027-10-07,2025-11-30,273.97,Prime Medics,B2,Active
MED005,Azithromycin,Azithromycin,Tablet,500 mg,Lupin,B5912,140,50,2026-07-07,2025-03-30,94.0,ABC Pharma,A2,Active
MED006,Vitamin C,Vitamin C,Capsule,5 ml,Alkem,B8109,241,30,2027-08-14,2025-12-31,237.5,ABC Pharma,Cold Storage,Active
MED007,Calcium,Calcium,Capsule,500 mg,Abbott,B8379,429,20,2026-11-07,2025-02-28,98.18,Prime Medics,Cold Storage,Active
MED008,Diclofenac,Diclofenac,Injection,5 ml,Alkem,B2065,459,50,2026-09-28,2025-03-04,373.4,Prime Medics,Cold Storage,Active
MED009,Losartan,Losartan,Ointment,250 mg,Mankind,B9032,294,20,2027-02-09,2025-03-04,227.34,HealthPlus,B1,Active
MED010,Calcium,Calcium,Tablet,650 mg,Mankind,B2391,327,30,2026-07-06,2025-04-22,447.78,LifeCare,Cold Storage,Active
MED011,Levocetirizine,Levocetirizine,Capsule,5 ml,Dr. Reddy's,B5368,347,30,2026-11-26,2025-01-11,80.81,Prime Medics,C1,Active
MED012,Dolo,Dolo,Injection,650 mg,Lupin,B6785,226,50,2028-02-23,2025-02-13,291.96,Prime Medics,C1,Active
MED013,Azithromycin,Azithromycin,Injection,500 mg,Dr. Reddy's,B7298,137,50,2026-12-01,2025-07-09,160.65,MediSupply,C2,Active
MED014,Diclofenac,Diclofenac,Injection,100 IU,Alkem,B1236,146,30,2027-02-22,2026-01-01,351.91,MediSupply,B1,Active
MED015,Paracetamol,Paracetamol,Tablet,650 mg,Alkem,B1853,249,50,2027-06-13,2025-08-19,80.38,MediSupply,Cold Storage,Active
MED016,ORS,ORS,Syrup,250 mg,Sun Pharma,B3525,144,50,2028-01-30,2025-02-11,450.19,HealthPlus,B2,Active
